民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,人數
113,1,3,中和區,19歲,19,19,完全落入,1.0,男,1817
113,1,3,中和區,19歲,19,19,完全落入,1.0,女,1619
113,1,3,中和區,20歲,20,20,完全落入,1.0,男,1915
113,1,3,中和區,20歲,20,20,完全落入,1.0,女,1647
113,1,3,中和區,21歲,21,21,完全落入,1.0,男,2053
113,1,3,中和區,21歲,21,21,完全落入,1.0,女,1856
113,1,3,中和區,22歲,22,22,完全落入,1.0,男,1997
113,1,3,中和區,22歲,22,22,完全落入,1.0,女,1870
113,1,3,中和區,23歲,23,23,完全落入,1.0,男,2440
113,1,3,中和區,23歲,23,23,完全落入,1.0,女,2319
113,1,3,中和區,24歲,24,24,完全落入,1.0,男,2271
113,1,3,中和區,24歲,24,24,完全落入,1.0,女,2147
113,1,3,中和區,25歲,25,25,完全落入,1.0,男,2124
113,1,3,中和區,25歲,25,25,完全落入,1.0,女,2072
113,1,3,中和區,26歲,26,26,完全落入,1.0,男,2552
113,1,3,中和區,26歲,26,26,完全落入,1.0,女,2401
113,1,3,中和區,27歲,27,27,完全落入,1.0,男,2552
113,1,3,中和區,27歲,27,27,完全落入,1.0,女,2501
113,1,3,中和區,28歲,28,28,完全落入,1.0,男,2675
113,1,3,中和區,28歲,28,28,完全落入,1.0,女,2530
113,1,3,中和區,29歲,29,29,完全落入,1.0,男,2588
113,1,3,中和區,29歲,29,29,完全落入,1.0,女,2408
113,1,3,中和區,30歲,30,30,完全落入,1.0,男,2690
113,1,3,中和區,30歲,30,30,完全落入,1.0,女,2527
113,1,3,中和區,31歲,31,31,完全落入,1.0,男,2737
113,1,3,中和區,31歲,31,31,完全落入,1.0,女,2540
113,1,3,中和區,32歲,32,32,完全落入,1.0,男,2661
113,1,3,中和區,32歲,32,32,完全落入,1.0,女,2486
113,1,3,中和區,33歲,33,33,完全落入,1.0,男,2989
113,1,3,中和區,33歲,33,33,完全落入,1.0,女,2644
113,1,3,中和區,34歲,34,34,完全落入,1.0,男,2673
113,1,3,中和區,34歲,34,34,完全落入,1.0,女,2577
113,1,3,中和區,35歲,35,35,完全落入,1.0,男,3002
113,1,3,中和區,35歲,35,35,完全落入,1.0,女,2873
113,1,3,中和區,36歲,36,36,不相關,0.0,男,2663
113,1,3,中和區,36歲,36,36,不相關,0.0,女,2611
113,1,3,中和區,37歲,37,37,不相關,0.0,男,2523
113,1,3,中和區,37歲,37,37,不相關,0.0,女,2571
113,1,3,中和區,38歲,38,38,不相關,0.0,男,2947
113,1,3,中和區,38歲,38,38,不相關,0.0,女,2883
113,1,3,中和區,39歲,39,39,不相關,0.0,男,3329
113,1,3,中和區,39歲,39,39,不相關,0.0,女,3261
113,1,3,中和區,40歲,40,40,不相關,0.0,男,3288
113,1,3,中和區,40歲,40,40,不相關,0.0,女,3307
113,1,3,中和區,41歲,41,41,不相關,0.0,男,3460
113,1,3,中和區,41歲,41,41,不相關,0.0,女,3495
113,1,3,中和區,42歲,42,42,不相關,0.0,男,3632
113,1,3,中和區,42歲,42,42,不相關,0.0,女,3711
113,1,3,中和區,43歲,43,43,不相關,0.0,男,3610
113,1,3,中和區,43歲,43,43,不相關,0.0,女,3765
113,1,3,中和區,44歲,44,44,不相關,0.0,男,3878
113,1,3,中和區,44歲,44,44,不相關,0.0,女,3901
113,1,3,中和區,45歲,45,45,不相關,0.0,男,3644
113,1,3,中和區,45歲,45,45,不相關,0.0,女,3870
113,1,3,中和區,46歲,46,46,不相關,0.0,男,3524
113,1,3,中和區,46歲,46,46,不相關,0.0,女,3575
113,1,3,中和區,47歲,47,47,不相關,0.0,男,3785
113,1,3,中和區,47歲,47,47,不相關,0.0,女,4001
113,1,3,中和區,48歲,48,48,不相關,0.0,男,3189
113,1,3,中和區,48歲,48,48,不相關,0.0,女,3436
113,1,3,中和區,49歲,49,49,不相關,0.0,男,3156
113,1,3,中和區,49歲,49,49,不相關,0.0,女,3357
113,1,3,中和區,50歲,50,50,不相關,0.0,男,3215
113,1,3,中和區,50歲,50,50,不相關,0.0,女,3347
113,1,3,中和區,51歲,51,51,不相關,0.0,男,3102
113,1,3,中和區,51歲,51,51,不相關,0.0,女,3363
113,1,3,中和區,52歲,52,52,不相關,0.0,男,3107
113,1,3,中和區,52歲,52,52,不相關,0.0,女,3447
113,1,3,中和區,53歲,53,53,不相關,0.0,男,3104
113,1,3,中和區,53歲,53,53,不相關,0.0,女,3531
113,1,3,中和區,54歲,54,54,不相關,0.0,男,3028
113,1,3,中和區,54歲,54,54,不相關,0.0,女,3397
113,1,3,中和區,55歲,55,55,不相關,0.0,男,2957
113,1,3,中和區,55歲,55,55,不相關,0.0,女,3388
113,1,3,中和區,56歲,56,56,不相關,0.0,男,2914
113,1,3,中和區,56歲,56,56,不相關,0.0,女,3128
113,1,3,中和區,57歲,57,57,不相關,0.0,男,2891
113,1,3,中和區,57歲,57,57,不相關,0.0,女,3452
113,1,3,中和區,58歲,58,58,不相關,0.0,男,2850
113,1,3,中和區,58歲,58,58,不相關,0.0,女,3346
113,1,3,中和區,59歲,59,59,不相關,0.0,男,2835
113,1,3,中和區,59歲,59,59,不相關,0.0,女,3481
113,1,3,中和區,60歲,60,60,不相關,0.0,男,2899
113,1,3,中和區,60歲,60,60,不相關,0.0,女,3628
113,1,3,中和區,61歲,61,61,不相關,0.0,男,2886
113,1,3,中和區,61歲,61,61,不相關,0.0,女,3637
113,1,3,中和區,62歲,62,62,不相關,0.0,男,2877
113,1,3,中和區,62歲,62,62,不相關,0.0,女,3446
113,1,3,中和區,63歲,63,63,不相關,0.0,男,2832
113,1,3,中和區,63歲,63,63,不相關,0.0,女,3568
113,1,3,中和區,64歲,64,64,不相關,0.0,男,2822
113,1,3,中和區,64歲,64,64,不相關,0.0,女,3571
113,1,3,中和區,65歲,65,65,不相關,0.0,男,2812
113,1,3,中和區,65歲,65,65,不相關,0.0,女,3707
113,1,3,中和區,66歲,66,66,不相關,0.0,男,2650
113,1,3,中和區,66歲,66,66,不相關,0.0,女,3397
113,1,3,中和區,67歲,67,67,不相關,0.0,男,2820
113,1,3,中和區,67歲,67,67,不相關,0.0,女,3547
113,1,3,中和區,68歲,68,68,不相關,0.0,男,2827
113,1,3,中和區,68歲,68,68,不相關,0.0,女,3541
113,1,3,中和區,69歲,69,69,不相關,0.0,男,2606
113,1,3,中和區,69歲,69,69,不相關,0.0,女,3421
113,1,3,中和區,70歲,70,70,不相關,0.0,男,2479
113,1,3,中和區,70歲,70,70,不相關,0.0,女,3303
113,1,3,中和區,71歲,71,71,不相關,0.0,男,2445
113,1,3,中和區,71歲,71,71,不相關,0.0,女,3168
113,1,3,中和區,72歲,72,72,不相關,0.0,男,2459
113,1,3,中和區,72歲,72,72,不相關,0.0,女,3066
113,1,3,中和區,73歲,73,73,不相關,0.0,男,2011
113,1,3,中和區,73歲,73,73,不相關,0.0,女,2584
113,1,3,中和區,74歲,74,74,不相關,0.0,男,1864
113,1,3,中和區,74歲,74,74,不相關,0.0,女,2432
113,1,3,中和區,75歲,75,75,不相關,0.0,男,1582
113,1,3,中和區,75歲,75,75,不相關,0.0,女,1948
113,1,3,中和區,76歲,76,76,不相關,0.0,男,1304
113,1,3,中和區,76歲,76,76,不相關,0.0,女,1757
113,1,3,中和區,77歲,77,77,不相關,0.0,男,1024
113,1,3,中和區,77歲,77,77,不相關,0.0,女,1394
113,1,3,中和區,78歲,78,78,不相關,0.0,男,807
113,1,3,中和區,78歲,78,78,不相關,0.0,女,1096
113,1,3,中和區,79歲,79,79,不相關,0.0,男,853
113,1,3,中和區,79歲,79,79,不相關,0.0,女,1135
113,1,3,中和區,80歲,80,80,不相關,0.0,男,820
113,1,3,中和區,80歲,80,80,不相關,0.0,女,1162
113,1,3,中和區,81歲,81,81,不相關,0.0,男,648
113,1,3,中和區,81歲,81,81,不相關,0.0,女,1045
113,1,3,中和區,82歲,82,82,不相關,0.0,男,631
113,1,3,中和區,82歲,82,82,不相關,0.0,女,930
113,1,3,中和區,83歲,83,83,不相關,0.0,男,521
113,1,3,中和區,83歲,83,83,不相關,0.0,女,957
113,1,3,中和區,84歲,84,84,不相關,0.0,男,430
113,1,3,中和區,84歲,84,84,不相關,0.0,女,689
113,1,3,中和區,85歲,85,85,不相關,0.0,男,295
113,1,3,中和區,85歲,85,85,不相關,0.0,女,683
113,1,3,中和區,86歲,86,86,不相關,0.0,男,275
113,1,3,中和區,86歲,86,86,不相關,0.0,女,537
113,1,3,中和區,87歲,87,87,不相關,0.0,男,267
113,1,3,中和區,87歲,87,87,不相關,0.0,女,470
113,1,3,中和區,88歲,88,88,不相關,0.0,男,199
113,1,3,中和區,88歲,88,88,不相關,0.0,女,415
113,1,3,中和區,89歲,89,89,不相關,0.0,男,187
113,1,3,中和區,89歲,89,89,不相關,0.0,女,343
113,1,3,中和區,90歲,90,90,不相關,0.0,男,179
113,1,3,中和區,90歲,90,90,不相關,0.0,女,309
113,1,3,中和區,91歲,91,91,不相關,0.0,男,184
113,1,3,中和區,91歲,91,91,不相關,0.0,女,226
113,1,3,中和區,92歲,92,92,不相關,0.0,男,175
113,1,3,中和區,92歲,92,92,不相關,0.0,女,189
113,1,3,中和區,93歲,93,93,不相關,0.0,男,169
113,1,3,中和區,93歲,93,93,不相關,0.0,女,152
113,1,3,中和區,94歲,94,94,不相關,0.0,男,147
113,1,3,中和區,94歲,94,94,不相關,0.0,女,111
113,1,3,中和區,95歲,95,95,不相關,0.0,男,115
113,1,3,中和區,95歲,95,95,不相關,0.0,女,97
113,1,3,中和區,96歲,96,96,不相關,0.0,男,74
113,1,3,中和區,96歲,96,96,不相關,0.0,女,81
113,1,3,中和區,97歲,97,97,不相關,0.0,男,58
113,1,3,中和區,97歲,97,97,不相關,0.0,女,60
113,1,3,中和區,98歲,98,98,不相關,0.0,男,57
113,1,3,中和區,98歲,98,98,不相關,0.0,女,41
113,1,3,中和區,99歲,99,99,不相關,0.0,男,22
113,1,3,中和區,99歲,99,99,不相關,0.0,女,28
113,1,3,中和區,100歲以上,100,100,不相關,0.0,男,46
113,1,3,中和區,100歲以上,100,100,不相關,0.0,女,49
113,1,4,永和區,0歲,0,0,不相關,0.0,男,375
113,1,4,永和區,0歲,0,0,不相關,0.0,女,395
113,1,4,永和區,1歲,1,1,不相關,0.0,男,498
113,1,4,永和區,1歲,1,1,不相關,0.0,女,484
113,1,4,永和區,2歲,2,2,不相關,0.0,男,560
113,1,4,永和區,2歲,2,2,不相關,0.0,女,518
113,1,4,永和區,3歲,3,3,不相關,0.0,男,579
113,1,4,永和區,3歲,3,3,不相關,0.0,女,525
113,1,4,永和區,4歲,4,4,不相關,0.0,男,684
113,1,4,永和區,4歲,4,4,不相關,0.0,女,614
113,1,4,永和區,5歲,5,5,不相關,0.0,男,723
113,1,4,永和區,5歲,5,5,不相關,0.0,女,641
113,1,4,永和區,6歲,6,6,不相關,0.0,男,792
113,1,4,永和區,6歲,6,6,不相關,0.0,女,806
113,1,4,永和區,7歲,7,7,不相關,0.0,男,942
113,1,4,永和區,7歲,7,7,不相關,0.0,女,850
113,1,4,永和區,8歲,8,8,不相關,0.0,男,967
113,1,4,永和區,8歲,8,8,不相關,0.0,女,963
113,1,4,永和區,9歲,9,9,不相關,0.0,男,1048
113,1,4,永和區,9歲,9,9,不相關,0.0,女,967
113,1,4,永和區,10歲,10,10,不相關,0.0,男,981
113,1,4,永和區,10歲,10,10,不相關,0.0,女,889
113,1,4,永和區,11歲,11,11,不相關,0.0,男,1285
113,1,4,永和區,11歲,11,11,不相關,0.0,女,1286
113,1,4,永和區,12歲,12,12,不相關,0.0,男,1180
113,1,4,永和區,12歲,12,12,不相關,0.0,女,1051
113,1,4,永和區,13歲,13,13,不相關,0.0,男,884
113,1,4,永和區,13歲,13,13,不相關,0.0,女,834
113,1,4,永和區,14歲,14,14,不相關,0.0,男,926
113,1,4,永和區,14歲,14,14,不相關,0.0,女,861
113,1,4,永和區,15歲,15,15,不相關,0.0,男,901
113,1,4,永和區,15歲,15,15,不相關,0.0,女,898
113,1,4,永和區,16歲,16,16,不相關,0.0,男,938
113,1,4,永和區,16歲,16,16,不相關,0.0,女,884
113,1,4,永和區,17歲,17,17,不相關,0.0,男,926
113,1,4,永和區,17歲,17,17,不相關,0.0,女,827
113,1,4,永和區,18歲,18,18,完全落入,1.0,男,883
113,1,4,永和區,18歲,18,18,完全落入,1.0,女,819
113,1,4,永和區,19歲,19,19,完全落入,1.0,男,961
113,1,4,永和區,19歲,19,19,完全落入,1.0,女,809
113,1,4,永和區,20歲,20,20,完全落入,1.0,男,905
113,1,4,永和區,20歲,20,20,完全落入,1.0,女,895
113,1,4,永和區,21歲,21,21,完全落入,1.0,男,1059
113,1,4,永和區,21歲,21,21,完全落入,1.0,女,967
113,1,4,永和區,22歲,22,22,完全落入,1.0,男,1008
113,1,4,永和區,22歲,22,22,完全落入,1.0,女,901
113,1,4,永和區,23歲,23,23,完全落入,1.0,男,1197
113,1,4,永和區,23歲,23,23,完全落入,1.0,女,1206
113,1,4,永和區,24歲,24,24,完全落入,1.0,男,1147
113,1,4,永和區,24歲,24,24,完全落入,1.0,女,1092
113,1,4,永和區,25歲,25,25,完全落入,1.0,男,1065
113,1,4,永和區,25歲,25,25,完全落入,1.0,女,1017
113,1,4,永和區,26歲,26,26,完全落入,1.0,男,1336
113,1,4,永和區,26歲,26,26,完全落入,1.0,女,1216
113,1,4,永和區,27歲,27,27,完全落入,1.0,男,1297
113,1,4,永和區,27歲,27,27,完全落入,1.0,女,1213
113,1,4,永和區,28歲,28,28,完全落入,1.0,男,1322
113,1,4,永和區,28歲,28,28,完全落入,1.0,女,1206
113,1,4,永和區,29歲,29,29,完全落入,1.0,男,1254
113,1,4,永和區,29歲,29,29,完全落入,1.0,女,1243
113,1,4,永和區,30歲,30,30,完全落入,1.0,男,1293
113,1,4,永和區,30歲,30,30,完全落入,1.0,女,1207
113,1,4,永和區,31歲,31,31,完全落入,1.0,男,1280
113,1,4,永和區,31歲,31,31,完全落入,1.0,女,1189
113,1,4,永和區,32歲,32,32,完全落入,1.0,男,1326
113,1,4,永和區,32歲,32,32,完全落入,1.0,女,1197
113,1,4,永和區,33歲,33,33,完全落入,1.0,男,1285
113,1,4,永和區,33歲,33,33,完全落入,1.0,女,1235
113,1,4,永和區,34歲,34,34,完全落入,1.0,男,1223
113,1,4,永和區,34歲,34,34,完全落入,1.0,女,1209
113,1,4,永和區,35歲,35,35,完全落入,1.0,男,1358
113,1,4,永和區,35歲,35,35,完全落入,1.0,女,1345
113,1,4,永和區,36歲,36,36,不相關,0.0,男,1175
113,1,4,永和區,36歲,36,36,不相關,0.0,女,1223
113,1,4,永和區,37歲,37,37,不相關,0.0,男,1163
113,1,4,永和區,37歲,37,37,不相關,0.0,女,1225
113,1,4,永和區,38歲,38,38,不相關,0.0,男,1314
113,1,4,永和區,38歲,38,38,不相關,0.0,女,1439
113,1,4,永和區,39歲,39,39,不相關,0.0,男,1503
113,1,4,永和區,39歲,39,39,不相關,0.0,女,1514
113,1,4,永和區,40歲,40,40,不相關,0.0,男,1503
113,1,4,永和區,40歲,40,40,不相關,0.0,女,1580
113,1,4,永和區,41歲,41,41,不相關,0.0,男,1537
113,1,4,永和區,41歲,41,41,不相關,0.0,女,1801
113,1,4,永和區,42歲,42,42,不相關,0.0,男,1604
113,1,4,永和區,42歲,42,42,不相關,0.0,女,1824
113,1,4,永和區,43歲,43,43,不相關,0.0,男,1584
113,1,4,永和區,43歲,43,43,不相關,0.0,女,1918
113,1,4,永和區,44歲,44,44,不相關,0.0,男,1730
113,1,4,永和區,44歲,44,44,不相關,0.0,女,1973
113,1,4,永和區,45歲,45,45,不相關,0.0,男,1728
113,1,4,永和區,45歲,45,45,不相關,0.0,女,1909
113,1,4,永和區,46歲,46,46,不相關,0.0,男,1478
113,1,4,永和區,46歲,46,46,不相關,0.0,女,1796
113,1,4,永和區,47歲,47,47,不相關,0.0,男,1785
113,1,4,永和區,47歲,47,47,不相關,0.0,女,2105
113,1,4,永和區,48歲,48,48,不相關,0.0,男,1547
113,1,4,永和區,48歲,48,48,不相關,0.0,女,1737
113,1,4,永和區,49歲,49,49,不相關,0.0,男,1625
113,1,4,永和區,49歲,49,49,不相關,0.0,女,1720
113,1,4,永和區,50歲,50,50,不相關,0.0,男,1596
113,1,4,永和區,50歲,50,50,不相關,0.0,女,1775
113,1,4,永和區,51歲,51,51,不相關,0.0,男,1506
113,1,4,永和區,51歲,51,51,不相關,0.0,女,1743
113,1,4,永和區,52歲,52,52,不相關,0.0,男,1539
113,1,4,永和區,52歲,52,52,不相關,0.0,女,1719
113,1,4,永和區,53歲,53,53,不相關,0.0,男,1553
113,1,4,永和區,53歲,53,53,不相關,0.0,女,1771
113,1,4,永和區,54歲,54,54,不相關,0.0,男,1525
113,1,4,永和區,54歲,54,54,不相關,0.0,女,1858
113,1,4,永和區,55歲,55,55,不相關,0.0,男,1494
113,1,4,永和區,55歲,55,55,不相關,0.0,女,1822
113,1,4,永和區,56歲,56,56,不相關,0.0,男,1482
113,1,4,永和區,56歲,56,56,不相關,0.0,女,1733
113,1,4,永和區,57歲,57,57,不相關,0.0,男,1554
113,1,4,永和區,57歲,57,57,不相關,0.0,女,1834
113,1,4,永和區,58歲,58,58,不相關,0.0,男,1515
113,1,4,永和區,58歲,58,58,不相關,0.0,女,1876
113,1,4,永和區,59歲,59,59,不相關,0.0,男,1574
113,1,4,永和區,59歲,59,59,不相關,0.0,女,1880
113,1,4,永和區,60歲,60,60,不相關,0.0,男,1557
113,1,4,永和區,60歲,60,60,不相關,0.0,女,1828
113,1,4,永和區,61歲,61,61,不相關,0.0,男,1533
113,1,4,永和區,61歲,61,61,不相關,0.0,女,1936
113,1,4,永和區,62歲,62,62,不相關,0.0,男,1534
113,1,4,永和區,62歲,62,62,不相關,0.0,女,1850
113,1,4,永和區,63歲,63,63,不相關,0.0,男,1557
113,1,4,永和區,63歲,63,63,不相關,0.0,女,1847
113,1,4,永和區,64歲,64,64,不相關,0.0,男,1469
113,1,4,永和區,64歲,64,64,不相關,0.0,女,1935
113,1,4,永和區,65歲,65,65,不相關,0.0,男,1512
113,1,4,永和區,65歲,65,65,不相關,0.0,女,1884
113,1,4,永和區,66歲,66,66,不相關,0.0,男,1383
113,1,4,永和區,66歲,66,66,不相關,0.0,女,1792
113,1,4,永和區,67歲,67,67,不相關,0.0,男,1442
113,1,4,永和區,67歲,67,67,不相關,0.0,女,1859
113,1,4,永和區,68歲,68,68,不相關,0.0,男,1434
113,1,4,永和區,68歲,68,68,不相關,0.0,女,1868
113,1,4,永和區,69歲,69,69,不相關,0.0,男,1389
113,1,4,永和區,69歲,69,69,不相關,0.0,女,1805
113,1,4,永和區,70歲,70,70,不相關,0.0,男,1378
113,1,4,永和區,70歲,70,70,不相關,0.0,女,1759
113,1,4,永和區,71歲,71,71,不相關,0.0,男,1402
113,1,4,永和區,71歲,71,71,不相關,0.0,女,1848
113,1,4,永和區,72歲,72,72,不相關,0.0,男,1315
113,1,4,永和區,72歲,72,72,不相關,0.0,女,1772
113,1,4,永和區,73歲,73,73,不相關,0.0,男,1184
113,1,4,永和區,73歲,73,73,不相關,0.0,女,1515
113,1,4,永和區,74歲,74,74,不相關,0.0,男,1081
113,1,4,永和區,74歲,74,74,不相關,0.0,女,1390
113,1,4,永和區,75歲,75,75,不相關,0.0,男,923
113,1,4,永和區,75歲,75,75,不相關,0.0,女,1226
113,1,4,永和區,76歲,76,76,不相關,0.0,男,868
113,1,4,永和區,76歲,76,76,不相關,0.0,女,1065
113,1,4,永和區,77歲,77,77,不相關,0.0,男,564
113,1,4,永和區,77歲,77,77,不相關,0.0,女,813
113,1,4,永和區,78歲,78,78,不相關,0.0,男,541
113,1,4,永和區,78歲,78,78,不相關,0.0,女,665
113,1,4,永和區,79歲,79,79,不相關,0.0,男,521
113,1,4,永和區,79歲,79,79,不相關,0.0,女,750
113,1,4,永和區,80歲,80,80,不相關,0.0,男,470
113,1,4,永和區,80歲,80,80,不相關,0.0,女,683
113,1,4,永和區,81歲,81,81,不相關,0.0,男,469
113,1,4,永和區,81歲,81,81,不相關,0.0,女,685
113,1,4,永和區,82歲,82,82,不相關,0.0,男,375
113,1,4,永和區,82歲,82,82,不相關,0.0,女,652
113,1,4,永和區,83歲,83,83,不相關,0.0,男,352
113,1,4,永和區,83歲,83,83,不相關,0.0,女,585
113,1,4,永和區,84歲,84,84,不相關,0.0,男,277
113,1,4,永和區,84歲,84,84,不相關,0.0,女,525
113,1,4,永和區,85歲,85,85,不相關,0.0,男,216
113,1,4,永和區,85歲,85,85,不相關,0.0,女,458
113,1,4,永和區,86歲,86,86,不相關,0.0,男,242
113,1,4,永和區,86歲,86,86,不相關,0.0,女,442
113,1,4,永和區,87歲,87,87,不相關,0.0,男,183
113,1,4,永和區,87歲,87,87,不相關,0.0,女,348
113,1,4,永和區,88歲,88,88,不相關,0.0,男,152
113,1,4,永和區,88歲,88,88,不相關,0.0,女,302
113,1,4,永和區,89歲,89,89,不相關,0.0,男,111
113,1,4,永和區,89歲,89,89,不相關,0.0,女,260
113,1,4,永和區,90歲,90,90,不相關,0.0,男,122
113,1,4,永和區,90歲,90,90,不相關,0.0,女,200
113,1,4,永和區,91歲,91,91,不相關,0.0,男,140
113,1,4,永和區,91歲,91,91,不相關,0.0,女,160
113,1,4,永和區,92歲,92,92,不相關,0.0,男,109
113,1,4,永和區,92歲,92,92,不相關,0.0,女,160
113,1,4,永和區,93歲,93,93,不相關,0.0,男,98
113,1,4,永和區,93歲,93,93,不相關,0.0,女,111
113,1,4,永和區,94歲,94,94,不相關,0.0,男,89
113,1,4,永和區,94歲,94,94,不相關,0.0,女,105
113,1,4,永和區,95歲,95,95,不相關,0.0,男,85
113,1,4,永和區,95歲,95,95,不相關,0.0,女,90
113,1,4,永和區,96歲,96,96,不相關,0.0,男,49
113,1,4,永和區,96歲,96,96,不相關,0.0,女,57
113,1,4,永和區,97歲,97,97,不相關,0.0,男,41
113,1,4,永和區,97歲,97,97,不相關,0.0,女,42
113,1,4,永和區,98歲,98,98,不相關,0.0,男,42
113,1,4,永和區,98歲,98,98,不相關,0.0,女,37
113,1,4,永和區,99歲,99,99,不相關,0.0,男,16
113,1,4,永和區,99歲,99,99,不相關,0.0,女,30
113,1,4,永和區,100歲以上,100,100,不相關,0.0,男,84
113,1,4,永和區,100歲以上,100,100,不相關,0.0,女,52
113,1,5,新莊區,0歲,0,0,不相關,0.0,男,1106
113,1,5,新莊區,0歲,0,0,不相關,0.0,女,1143
113,1,5,新莊區,1歲,1,1,不相關,0.0,男,1368
113,1,5,新莊區,1歲,1,1,不相關,0.0,女,1290
113,1,5,新莊區,2歲,2,2,不相關,0.0,男,1559
113,1,5,新莊區,2歲,2,2,不相關,0.0,女,1484
113,1,5,新莊區,3歲,3,3,不相關,0.0,男,1667
113,1,5,新莊區,3歲,3,3,不相關,0.0,女,1524
113,1,5,新莊區,4歲,4,4,不相關,0.0,男,1762
113,1,5,新莊區,4歲,4,4,不相關,0.0,女,1647
113,1,5,新莊區,5歲,5,5,不相關,0.0,男,1928
113,1,5,新莊區,5歲,5,5,不相關,0.0,女,1736
113,1,5,新莊區,6歲,6,6,不相關,0.0,男,1987
113,1,5,新莊區,6歲,6,6,不相關,0.0,女,1973
113,1,5,新莊區,7歲,7,7,不相關,0.0,男,2179
113,1,5,新莊區,7歲,7,7,不相關,0.0,女,2016
113,1,5,新莊區,8歲,8,8,不相關,0.0,男,2302
113,1,5,新莊區,8歲,8,8,不相關,0.0,女,2195
113,1,5,新莊區,9歲,9,9,不相關,0.0,男,2303
113,1,5,新莊區,9歲,9,9,不相關,0.0,女,2196
113,1,5,新莊區,10歲,10,10,不相關,0.0,男,2072
113,1,5,新莊區,10歲,10,10,不相關,0.0,女,1944
113,1,5,新莊區,11歲,11,11,不相關,0.0,男,2434
113,1,5,新莊區,11歲,11,11,不相關,0.0,女,2403
113,1,5,新莊區,12歲,12,12,不相關,0.0,男,2080
113,1,5,新莊區,12歲,12,12,不相關,0.0,女,2053
113,1,5,新莊區,13歲,13,13,不相關,0.0,男,1729
113,1,5,新莊區,13歲,13,13,不相關,0.0,女,1584
113,1,5,新莊區,14歲,14,14,不相關,0.0,男,1980
113,1,5,新莊區,14歲,14,14,不相關,0.0,女,1880
113,1,5,新莊區,15歲,15,15,不相關,0.0,男,2020
113,1,5,新莊區,15歲,15,15,不相關,0.0,女,1782
113,1,5,新莊區,16歲,16,16,不相關,0.0,男,2085
113,1,5,新莊區,16歲,16,16,不相關,0.0,女,1919
113,1,5,新莊區,17歲,17,17,不相關,0.0,男,2029
113,1,5,新莊區,17歲,17,17,不相關,0.0,女,1836
113,1,5,新莊區,18歲,18,18,完全落入,1.0,男,2007
113,1,5,新莊區,18歲,18,18,完全落入,1.0,女,1861
113,1,5,新莊區,19歲,19,19,完全落入,1.0,男,2098
113,1,5,新莊區,19歲,19,19,完全落入,1.0,女,1867
